key,uid,title,modified_date,saved_file,updated_at,status
uid:bf21cd0e-fa17-40d7-acb6-be4fdc56809c,bf21cd0e-fa17-40d7-acb6-be4fdc56809c,상세보기 : 경상북도_울진군_태양광발전소전기사업허가정보,2024-09-04,generator_next\source\raw_csv\경상북도_울진군_태양광발전소전기사업허가정보_20240725.csv,2026-02-25T02:23:02,skipped:up_to_date
uid:c160bb99-4d4f-4149-89e9-dd6aed4b53fb,c160bb99-4d4f-4149-89e9-dd6aed4b53fb,상세보기 : 경기도_성남시_태양광발전소전기사업허가정보,2026-02-24,generator_next\source\raw_csv\경기도_성남시_태양광발전소전기사업허가정보_20260126.csv,2026-02-25T02:21:45,skipped:up_to_date
uid:c2b3e9d7-dbf7-4e1f-be6f-b60e60cceb51,c2b3e9d7-dbf7-4e1f-be6f-b60e60cceb51,상세보기 : 강원도_인제군_태양광발전소전기사업허가정보,2022-12-01,generator_next\source\raw_csv\강원도_인제군_태양광발전소전기사업허가정보_20221201.csv,2026-02-25T02:23:07,skipped:up_to_date
uid:c33b0628-b46b-4c02-b1bc-943ea5e8ddb0,c33b0628-b46b-4c02-b1bc-943ea5e8ddb0,상세보기 : 강원특별자치도_태백시_태양광발전소전기사업허가정보,2024-09-25,generator_next\source\raw_csv\강원특별자치도_태백시_태양광발전소전기사업허가정보_20240925.csv,2026-02-25T02:23:00,skipped:up_to_date
uid:c5b77ceb-303e-4029-9f3f-862671ee263a,c5b77ceb-303e-4029-9f3f-862671ee263a,상세보기 : 전북특별자치도_장수군_태양광발전소전기사업허가정보,2025-03-28,generator_next\source\raw_csv\전북특별자치도_장수군_태양광발전소전기사업허가정보_20250328.csv,2026-02-25T02:22:39,skipped:up_to_date
uid:c7130e3e-d4d4-4393-bc04-e6b430cda305,c7130e3e-d4d4-4393-bc04-e6b430cda305,상세보기 : 경상북도_문경시_태양광발전소전기사업허가정보,2026-01-08,generator_next\source\raw_csv\경상북도_문경시_태양광발전소전기사업허가정보_20251224.csv,2026-02-25T02:21:53,ok
uid:cba14ccd-d467-46d5-b906-86c5c78cb4b6,cba14ccd-d467-46d5-b906-86c5c78cb4b6,상세보기 : 경기도_가평군_태양광발전소전기사업허가정보,2025-05-23,generator_next\source\raw_csv\경기도_가평군_태양광발전소전기사업허가정보_20250521.csv,2026-02-25T02:22:37,ok
uid:cc819ffe-cdcb-4ddb-bb38-e2bd8f9e3968,cc819ffe-cdcb-4ddb-bb38-e2bd8f9e3968,상세보기 : 전라남도_화순군_태양광발전소전기사업허가정보,2025-09-25,generator_next\source\raw_csv\전라남도_화순군_태양광발전소전기사업허가정보_20250924.csv,2026-02-25T02:22:18,ok
uid:cc9cc14f-9b98-4e1f-813d-97b523a7eb2d,cc9cc14f-9b98-4e1f-813d-97b523a7eb2d,상세보기 : 경상남도_사천시_태양광발전소전기사업허가정보,2025-09-23,generator_next\source\raw_csv\경상남도_사천시_태양광발전소전기사업허가정보_20250920.csv,2026-02-25T02:22:19,skipped:up_to_date
uid:cd0ad2e0-5c71-4542-b742-c15f156ca4cc,cd0ad2e0-5c71-4542-b742-c15f156ca4cc,상세보기 : 강원특별자치도_동해시_태양광발전소전기사업허가정보,2025-11-18,generator_next\source\raw_csv\강원특별자치도_동해시_태양광발전소전기사업허가정보_20251117.csv,2026-02-25T02:22:09,ok
