index,page,page_index,uid,title,modified_date,status,saved_file,detail_onclick,download_onclick
120,25,0,c33b0628-b46b-4c02-b1bc-943ea5e8ddb0,상세보기 : 강원특별자치도_태백시_태양광발전소전기사업허가정보,2024-09-25,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:c33b0628-b46b-4c02-b1bc-943ea5e8ddb0'),
121,25,1,94219f93-8161-49e7-bcb7-f50fcc7207b7,상세보기 : 전라남도_완도군_태양광발전소전기사업허가정보,2024-09-24,ok,generator_next\source\raw_csv\전라남도_완도군_태양광발전소전기사업허가정보_20240830.csv,stdObj.fn_fileDataDetail('uddi:94219f93-8161-49e7-bcb7-f50fcc7207b7'),"fn_fileDataDown('15107742', 'uddi:94219f93-8161-49e7-bcb7-f50fcc7207b7', 'FILE_000000003031445', '1', 'csv')"
122,25,2,a780fb31-bcc2-4d3c-82e5-edbd00058c88,상세보기 : 강원특별자치도_홍천군_태양광발전소전기사업허가정보,2024-09-24,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:a780fb31-bcc2-4d3c-82e5-edbd00058c88'),
123,25,3,d4d1b657-ff73-460b-9dad-fe56dc64e41b,상세보기 : 경상북도_성주군_태양광발전소전기사업허가정보,2024-09-24,ok,generator_next\source\raw_csv\경상북도_성주군_태양광발전소전기사업허가정보_20240807.csv,stdObj.fn_fileDataDetail('uddi:d4d1b657-ff73-460b-9dad-fe56dc64e41b'),"fn_fileDataDown('15107742', 'uddi:d4d1b657-ff73-460b-9dad-fe56dc64e41b', 'FILE_000000002980916', '1', 'csv')"
124,25,4,bf21cd0e-fa17-40d7-acb6-be4fdc56809c,상세보기 : 경상북도_울진군_태양광발전소전기사업허가정보,2024-09-04,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:bf21cd0e-fa17-40d7-acb6-be4fdc56809c'),
125,26,0,4b726d98-d9ce-4ade-a735-c0a3a4cf8f52,상세보기 : 전북특별자치도_고창군_태양광발전소전기사업허가정보,2024-06-03,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:4b726d98-d9ce-4ade-a735-c0a3a4cf8f52'),
126,26,1,2c65b3ab-a62a-4846-86d8-a4625aa3a1f2,상세보기 : 전라북도_완주군_태양광발전소전기사업허가정보,2024-01-31,ok,generator_next\source\raw_csv\전라북도_완주군_태양광발전소전기사업허가정보_20240129.csv,stdObj.fn_fileDataDetail('uddi:2c65b3ab-a62a-4846-86d8-a4625aa3a1f2'),"fn_fileDataDown('15107742', 'uddi:2c65b3ab-a62a-4846-86d8-a4625aa3a1f2', 'FILE_000000002873241', '1', 'csv')"
127,26,2,f262c3c4-6b70-4cdf-9f34-e2f1f23125e1,상세보기 : 경상남도_하동군_태양광발전소전기사업허가정보,2024-01-12,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:f262c3c4-6b70-4cdf-9f34-e2f1f23125e1'),
128,26,3,6db24e3f-777e-409a-9607-cf605fe0b59f,상세보기 : 경기도_구리시_태양광발전소전기사업허가정보,2023-12-14,ok,generator_next\source\raw_csv\경기도_구리시_태양광발전소전기사업허가정보_20231124.csv,stdObj.fn_fileDataDetail('uddi:6db24e3f-777e-409a-9607-cf605fe0b59f'),"fn_fileDataDown('15107742', 'uddi:6db24e3f-777e-409a-9607-cf605fe0b59f', 'FILE_000000002842833', '1', 'csv')"
129,26,4,f4ab6840-32a5-4518-b3e8-d7f123d2757a,상세보기 : 경기도_여주시_태양광발전소전기사업허가정보,2023-11-24,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:f4ab6840-32a5-4518-b3e8-d7f123d2757a'),
130,27,0,1f608482-e1d7-4158-b190-8dac936a898e,상세보기 : 경상북도_영주시_태양광발전소전기사업허가정보,2023-08-21,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:1f608482-e1d7-4158-b190-8dac936a898e'),
131,27,1,75ca175e-2125-4b23-b025-c375e7175f19,상세보기 : 부산광역시_태양광발전소전기사업허가정보,2022-12-12,ok,generator_next\source\raw_csv\부산광역시_태양광발전소전기사업허가정보_20221129.csv,stdObj.fn_fileDataDetail('uddi:75ca175e-2125-4b23-b025-c375e7175f19'),"fn_fileDataDown('15107742', 'uddi:75ca175e-2125-4b23-b025-c375e7175f19', 'FILE_000000002665810', '1', 'csv')"
132,27,2,c2b3e9d7-dbf7-4e1f-be6f-b60e60cceb51,상세보기 : 강원도_인제군_태양광발전소전기사업허가정보,2022-12-01,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:c2b3e9d7-dbf7-4e1f-be6f-b60e60cceb51'),
133,27,3,e038cd7f-3369-47ea-bde5-ba158d9868d5,상세보기 : 충청북도_보은군_태양광발전소전기사업허가정보,2022-11-30,ok,generator_next\source\raw_csv\충청북도_보은군_태양광발전소전기사업허가정보_20221130.csv,stdObj.fn_fileDataDetail('uddi:e038cd7f-3369-47ea-bde5-ba158d9868d5'),"fn_fileDataDown('15107742', 'uddi:e038cd7f-3369-47ea-bde5-ba158d9868d5', 'FILE_000000002656446', '1', 'csv')"
134,27,4,73936b58-02a4-4793-9baf-8636a5adc871,상세보기 : 강원도_평창군_태양광발전소전기사업허가정보,2022-11-25,skipped:up_to_date,,stdObj.fn_fileDataDetail('uddi:73936b58-02a4-4793-9baf-8636a5adc871'),
