sido_code,sido_name,gugun_code,gugun_name,station_count,capacity_mw,generation_mwh,station_count_ratio_pct,capacity_ratio_pct,generation_ratio_pct,collected_at
44,충청남도,44770,서천군,"1,807",197,"226,097",7.1,4.7,6.5,2026-02-14T23:08:21.279293
44,충청남도,44790,청양군,758,71,"69,682",3,1.7,2,2026-02-14T23:08:21.279293
44,충청남도,44800,홍성군,"1,427",190,"203,590",5.6,4.6,5.8,2026-02-14T23:08:21.279293
44,충청남도,44810,예산군,"1,939",215,"170,996",7.6,5.1,4.9,2026-02-14T23:08:21.279293
44,충청남도,44825,태안군,"1,019",698,"342,919",4,16.7,9.8,2026-02-14T23:08:21.279293
46,전라남도,46110,목포시,448,68,"75,383",1.6,1.1,1.2,2026-02-14T23:08:21.279293
46,전라남도,46130,여수시,815,112,"109,164",3,1.8,1.7,2026-02-14T23:08:21.279293
46,전라남도,46150,순천시,"1,775",301,"304,265",6.4,4.8,4.8,2026-02-14T23:08:21.279293
46,전라남도,46170,나주시,"2,853",472,"467,411",10.3,7.5,7.3,2026-02-14T23:08:21.279293
46,전라남도,46230,광양시,934,203,"196,196",3.4,3.2,3.1,2026-02-14T23:08:21.279293
46,전라남도,46710,담양군,"1,067",101,"58,416",3.9,1.6,0.9,2026-02-14T23:08:21.279293
46,전라남도,46720,곡성군,663,82,"87,558",2.4,1.3,1.4,2026-02-14T23:08:21.279293
46,전라남도,46730,구례군,225,20,"18,199",0.8,0.3,0.3,2026-02-14T23:08:21.279293
46,전라남도,46770,고흥군,"2,146",541,"578,640",7.8,8.6,9.1,2026-02-14T23:08:21.279293
46,전라남도,46780,보성군,"1,065",204,"186,523",3.9,3.3,2.9,2026-02-14T23:08:21.279293
46,전라남도,46790,화순군,"1,470",206,"216,780",5.3,3.3,3.4,2026-02-14T23:08:21.279293
46,전라남도,46800,장흥군,"1,155",154,"150,783",4.2,2.5,2.4,2026-02-14T23:08:21.279293
46,전라남도,46810,강진군,"1,302",216,"262,549",4.7,3.4,4.1,2026-02-14T23:08:21.279293
46,전라남도,46820,해남군,"2,420",627,"783,684",8.8,10,12.3,2026-02-14T23:08:21.279293
46,전라남도,46830,영암군,"2,498",549,"573,787",9,8.8,9,2026-02-14T23:08:21.279293
46,전라남도,46840,무안군,"1,385",337,"391,284",5,5.4,6.1,2026-02-14T23:08:21.279293
46,전라남도,46860,함평군,"1,010",143,"115,622",3.7,2.3,1.8,2026-02-14T23:08:21.279293
46,전라남도,46870,영광군,"1,049",564,"478,620",3.8,9,7.5,2026-02-14T23:08:21.279293
46,전라남도,46880,장성군,"1,121",157,"154,936",4.1,2.5,2.4,2026-02-14T23:08:21.279293
46,전라남도,46890,완도군,882,92,"103,533",3.2,1.5,1.6,2026-02-14T23:08:21.279293
46,전라남도,46900,진도군,783,118,"127,560",2.8,1.9,2,2026-02-14T23:08:21.279293
46,전라남도,46910,신안군,559,995,"942,071",2,15.9,14.8,2026-02-14T23:08:21.279293
47,경상북도,47110,포항시,850,146,"107,568",2.7,3.4,2.8,2026-02-14T23:08:21.279293
