orig_idx,SIG_CD,SIG_KOR_NM
738,41390,시흥시
739,41270,안산시
739,41270,안산시 상록구
740,31140,남구
741,36110,세종특별자치시
742,26440,강서구
743,26140,서구
744,26170,동구
745,26170,동구
746,26290,남구
747,26530,사상구
748,26530,사상구
749,26530,사상구
750,26470,연제구
751,26710,기장군
752,26410,금정구
753,27140,동구
